"transcrito","locus","locus_antiguo","gen","producto","proteina","ubicacion","hebra","longitud_nt","pseudogen","copias_identicas","en_cuantificacion","analizable","en_universo","conjunto_flagelar","categoria","TPM_Pl25","TPM_Pl30","TPM_Pl37","TPM_pH06","TPM_pH07","TPM_pH08","log2FC_37vs25","padj_37vs25","log2FC_30vs25","padj_30vs25","log2FC_37vs30","padj_37vs30","log2FC_pH6vspH8","padj_pH6vspH8"
"lcl|NC_008783.1_cds_WP_005765747.1_38","BARBAKC583_RS00200","BARBAKC583_0038",NA,"shikimate kinase","WP_005765747.1","complement(43873..44499)","-",627,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",270.9,312.5,183.8,151.8,223.8,133.8,-0.081,0.662,0.364,0.0974,-0.381,0.0669,0.185,0.461
"lcl|NC_008783.1_cds_WP_005765749.1_39","BARBAKC583_RS00205","BARBAKC583_0039",NA,"site-specific tyrosine recombinase XerD","WP_005765749.1","44758..45696","+",939,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1072.7,1937.6,1329.1,1366.8,2135.5,639.3,0.51,0.187,0.735,0.0509,-0.102,0.715,0.699,0.0453
"lcl|NC_008783.1_cds_WP_005765751.1_40","BARBAKC583_RS00210","BARBAKC583_0040",NA,"acetyl-CoA carboxylase carboxyltransferase subunit alpha","WP_005765751.1","45772..46728","+",957,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",753.4,737.7,564.4,724.5,876,983.6,0.011,0.953,0.151,0.503,-0.105,0.659,-0.364,0.107
"lcl|NC_008783.1_cds_WP_005765753.1_41","BARBAKC583_RS00215","BARBAKC583_0041",NA,"L,D-transpeptidase family protein","WP_005765753.1","46764..47507","+",744,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",320.6,196.8,142.1,178.4,160.2,187.2,-0.677,0.00825,-0.425,0.0956,-0.131,0.599,-0.036,0.908
"lcl|NC_008783.1_cds_WP_005765755.1_42","BARBAKC583_RS00220","BARBAKC583_0042",NA,"D-alanyl-D-alanine carboxypeptidase family protein","WP_005765755.1","complement(48142..49230)","-",1089,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",471,555.7,376.6,217.3,389.9,227.5,0.078,0.671,0.403,0.0632,-0.218,0.333,-0.031,0.908
"lcl|NC_008783.1_cds_WP_005765757.1_43","BARBAKC583_RS00225","BARBAKC583_0043",NA,"lysophospholipid acyltransferase family protein","WP_005765757.1","complement(49321..50127)","-",807,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1046.5,1110.3,957.7,972.4,1200.2,853.9,0.241,0.25,0.251,0.269,0.006,0.986,0.187,0.474
"lcl|NC_008783.1_cds_WP_035453345.1_44","BARBAKC583_RS00240","BARBAKC583_0047",NA,"ABC transporter substrate-binding protein","WP_035453345.1","51060..52037","+",978,FALSE,"",TRUE,TRUE,TRUE,FALSE,"TranspABC",712.1,604.9,461.2,687.6,351.5,974.1,-0.126,0.672,-0.02,0.958,-0.072,0.808,-0.351,0.282
"lcl|NC_008783.1_cds_WP_005765763.1_45","BARBAKC583_RS00245","BARBAKC583_0048",NA,"ABC transporter permease","WP_005765763.1","52089..52982","+",894,FALSE,"",TRUE,TRUE,TRUE,FALSE,"TranspABC",339,107.4,119.3,241.8,120.3,232.5,-0.835,0.029,-1.104,0.00354,0.123,0.647,0.06,0.888
"lcl|NC_008783.1_cds_WP_005765764.1_46","BARBAKC583_RS00250","BARBAKC583_0049",NA,"ABC transporter ATP-binding protein","WP_005765764.1","52979..53773","+",795,FALSE,"",TRUE,TRUE,TRUE,FALSE,"TranspABC",331.2,67.8,78.9,293.2,105.7,186.2,-1.305,0.00108,-1.668,5.6e-05,0.138,0.599,0.429,0.242
"lcl|NC_008783.1_cds_WP_005765766.1_47","BARBAKC583_RS00255","BARBAKC583_0050","holA","DNA polymerase III subunit delta","WP_005765766.1","53777..54820","+",1044,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",337.7,110.1,93.8,139.9,95.6,112.9,-1.162,0.00159,-1.105,0.00234,-0.002,0.999,0.228,0.548
"lcl|NC_008783.1_cds_WP_005765768.1_48","BARBAKC583_RS00260","BARBAKC583_0051",NA,"YihY/virulence factor BrkB family protein","WP_005765768.1","54956..55813","+",858,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",332.7,222.2,258.5,143.7,145.2,91.5,0.039,0.9,-0.282,0.353,0.21,0.425,0.526,0.0826
"lcl|NC_008783.1_cds_WP_005765769.1_49","BARBAKC583_RS00265","BARBAKC583_0052",NA,"YaiI/YqxD family protein","WP_005765769.1","55832..56329","+",498,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",148.3,108.9,75.2,68.7,89.5,91,-0.446,0.13,-0.192,0.542,-0.138,0.599,-0.291,0.364
"lcl|NC_008783.1_cds_WP_005765771.1_50","BARBAKC583_RS00270","BARBAKC583_0053",NA,"TlpA disulfide reductase family protein","WP_005765771.1","complement(56331..57029)","-",699,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",235.9,322.6,236.4,72.6,163.1,231.1,0.323,0.263,0.516,0.0824,-0.099,0.718,-1.333,2.5e-06
"lcl|NC_008783.1_cds_WP_005765773.1_51","BARBAKC583_RS00275","BARBAKC583_0054","argH","argininosuccinate lyase","WP_005765773.1","57063..58463","+",1401,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",213.1,156.8,124.1,207.2,178.9,220.6,-0.287,0.151,-0.199,0.356,-0.068,0.793,-0.052,0.852
"lcl|NC_008783.1_cds_WP_005765774.1_52","BARBAKC583_RS00280","BARBAKC583_0055",NA,"lipoprotein","WP_005765774.1","58522..58701","+",180,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",680.2,354.6,240.9,523.5,514,272.4,-0.902,0.00783,-0.541,0.0978,-0.138,0.599,0.717,0.0215
"lcl|NC_008783.1_cds_WP_005765777.1_53","BARBAKC583_RS00285","BARBAKC583_0056","lysA","diaminopimelate decarboxylase","WP_005765777.1","58710..59984","+",1275,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",311.5,147,126.1,242.5,207.4,355.5,-0.744,0.0166,-0.713,0.0189,0.004,0.992,-0.396,0.203
"lcl|NC_008783.1_cds_WP_005765779.1_54","BARBAKC583_RS00290","BARBAKC583_0057",NA,"TIGR02302 family protein","WP_005765779.1","60099..62516","+",2418,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",236.9,182.1,132.1,128.9,154.5,112.9,-0.365,0.0471,-0.133,0.496,-0.169,0.427,0.203,0.34
"lcl|NC_008783.1_cds_WP_005765781.1_55","BARBAKC583_RS00295","BARBAKC583_0058",NA,"class I SAM-dependent methyltransferase","WP_005765781.1","62798..63532","+",735,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",193.4,67.3,71.7,108.1,72.4,85,-0.841,0.0119,-1.085,0.00119,0.13,0.624,0.278,0.426
"lcl|NC_008783.1_cds_WP_005765783.1_56","BARBAKC583_RS00300","BARBAKC583_0059",NA,"response regulator transcription factor","WP_005765783.1","complement(63674..64360)","-",687,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",260.5,440.6,407.1,179.8,241.2,178.1,1.013,2.03e-06,0.878,5.07e-05,0.072,0.786,0.037,0.894
"lcl|NC_008783.1_cds_WP_414945798.1_57","BARBAKC583_RS00305","BARBAKC583_0061",NA,"L,D-transpeptidase family protein","WP_414945798.1","64505..64999","+",495,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",40.1,37.1,45.1,27.9,27.4,21.2,0.337,0.396,0.012,0.982,0.155,0.558,0.245,0.541
"lcl|NC_008783.1_cds_WP_005765787.1_58","BARBAKC583_RS00310","BARBAKC583_0060",NA,"EVE domain-containing protein","WP_005765787.1","complement(64996..65424)","-",429,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",185.4,79.5,39.4,108.9,95.7,158.2,-1.504,8.82e-05,-0.749,0.0393,-0.298,0.277,-0.337,0.36
"lcl|NC_008783.1_cds_WP_005765789.1_59","BARBAKC583_RS00315","BARBAKC583_0062","tsaD","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD","WP_005765789.1","complement(65516..66610)","-",1095,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Traduccion",154.3,56.2,43.2,112.9,94.7,113,-1.201,0.000429,-0.999,0.003,-0.063,0.832,0.026,0.948
"lcl|NC_008783.1_cds_WP_005765791.1_60","BARBAKC583_RS00320","BARBAKC583_0063",NA,"COG4223 family protein","WP_005765791.1","66994..68352","+",1359,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",617.3,245.1,224.9,586.2,380.6,617.5,-0.98,4.26e-08,-1.054,6.38e-09,0.062,0.803,-0.044,0.859
"lcl|NC_008783.1_cds_WP_005765792.1_61","BARBAKC583_RS00325","BARBAKC583_0064",NA,"heme biosynthesis protein HemY","WP_005765792.1","68364..69959","+",1596,FALSE,"",TRUE,TRUE,TRUE,FALSE,"HierroHemo",307.8,78,100.6,174.7,105.4,187.6,-1.109,7.16e-07,-1.667,5.08e-13,0.389,0.074,-0.061,0.838
"lcl|NC_008783.1_cds_WP_005765794.1_62","BARBAKC583_RS00330","BARBAKC583_0065",NA,"glutamine amidotransferase","WP_005765794.1","70042..70809","+",768,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",403.2,326.3,214,211.2,274.6,147.2,-0.461,0.00643,-0.075,0.686,-0.299,0.0878,0.511,0.00257
"lcl|NC_008783.1_cds_WP_005765796.1_63","BARBAKC583_RS00335","BARBAKC583_0066",NA,"NAD-glutamate dehydrogenase","WP_005765796.1","complement(71085..75794)","-",4710,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",2268.3,2835.9,2218.1,2251.9,2709.1,2456.5,0.35,0.104,0.478,0.0313,-0.079,0.757,-0.084,0.773
"lcl|NC_008783.1_cds_WP_005765797.1_64","BARBAKC583_RS00340","BARBAKC583_0067",NA,"carbonic anhydrase","WP_005765797.1","76074..76730","+",657,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",252,232.7,166.8,234.6,241.5,170.7,-0.105,0.559,0.072,0.756,-0.161,0.483,0.436,0.0414
"lcl|NC_008783.1_cds_WP_005765799.1_65","BARBAKC583_RS00345","BARBAKC583_0068","ffh","signal recognition particle protein","WP_005765799.1","76976..78523","+",1548,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",433.3,193,316.2,225.7,130.6,296.6,-0.012,0.972,-0.68,0.0573,0.408,0.132,-0.232,0.548
"lcl|NC_008783.1_cds_WP_005765801.1_66","BARBAKC583_RS00350","BARBAKC583_0069","rpsP","30S ribosomal protein S16","WP_005765801.1","78953..79315","+",363,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Ribosoma",1729.4,803.4,772.2,394.1,408.9,1157.4,-0.499,0.187,-0.61,0.0946,0.056,0.847,-1,0.00325
"lcl|NC_008783.1_cds_WP_005765802.1_67","BARBAKC583_RS00355","BARBAKC583_0070",NA,"DUF1674 domain-containing protein","WP_005765802.1","complement(79464..79670)","-",207,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",506.6,674.7,278.3,408.1,702.3,393.7,-0.243,0.494,0.437,0.215,-0.477,0.0882,0.051,0.902
"lcl|NC_008783.1_cds_WP_011807246.1_68","BARBAKC583_RS00360","BARBAKC583_0071","htpX","zinc metalloprotease HtpX","WP_011807246.1","79755..80786","+",1032,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Chaperona",696.7,1090.8,2705.6,1147.7,1308.1,458.9,2.125,7.45e-10,0.66,0.045,1.083,0.000763,1.005,0.00109
"lcl|NC_008783.1_cds_WP_005765806.1_69","BARBAKC583_RS00365","BARBAKC583_0072",NA,"RsmB/NOP family class I SAM-dependent RNA methyltransferase","WP_005765806.1","80897..82267","+",1371,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",141.7,125.6,346.1,187,190.1,97.9,1.64,3.57e-15,0.034,0.89,1.53,3.59e-13,0.859,3.49e-05
"lcl|NC_008783.1_cds_WP_005765808.1_70","BARBAKC583_RS00370","BARBAKC583_0073",NA,"heparinase II/III family protein","WP_005765808.1","82335..84044","+",1710,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",379.1,171.4,244,251.8,184.7,202,-0.138,0.59,-0.793,0.00415,0.442,0.0735,0.285,0.352
"lcl|NC_008783.1_cds_WP_005765810.1_71","BARBAKC583_RS00375","BARBAKC583_0074","purH","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","WP_005765810.1","84215..85831","+",1617,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",331.7,232.1,230.8,363.5,253.2,373.1,-0.06,0.794,-0.245,0.336,0.116,0.646,-0.003,0.994
"lcl|NC_008783.1_cds_WP_005765812.1_72","BARBAKC583_RS06725","BARBAKC583_0075",NA,"DUF1127 domain-containing protein","WP_005765812.1","85996..86148","+",153,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",2288.1,684.6,320.2,3191.4,5709.9,3913.2,-2.108,1.47e-08,-1.28,0.000442,-0.353,0.189,-0.184,0.635
"lcl|NC_008783.1_cds_WP_005765814.1_73","BARBAKC583_RS00380","BARBAKC583_0076",NA,"SURF1 family protein","WP_005765814.1","complement(86488..87294)","-",807,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",332.3,328.7,317.2,310,528.8,404.3,0.292,0.218,0.161,0.542,0.093,0.722,-0.297,0.269
"lcl|NC_008783.1_cds_WP_005765816.1_74","BARBAKC583_RS00385","BARBAKC583_0077","rpmB","50S ribosomal protein L28","WP_005765816.1","87569..87865","+",297,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Ribosoma",1280.6,1149.3,780,689.8,608.6,970.2,-0.193,0.516,0.028,0.938,-0.144,0.584,-0.347,0.292
