BARBAKC583_RS00005	WP_005765660.1
BARBAKC583_RS00305	WP_414945798.1
BARBAKC583_RS00310	WP_005765787.1
BARBAKC583_RS00315	WP_005765789.1
BARBAKC583_RS00320	WP_005765791.1
BARBAKC583_RS00325	WP_005765792.1
BARBAKC583_RS00330	WP_005765794.1
BARBAKC583_RS00335	WP_005765796.1
BARBAKC583_RS00340	WP_005765797.1
BARBAKC583_RS00345	WP_005765799.1
BARBAKC583_RS00350	WP_005765801.1
BARBAKC583_RS00355	WP_005765802.1
BARBAKC583_RS00360	WP_011807246.1
BARBAKC583_RS00365	WP_005765806.1
BARBAKC583_RS00370	WP_005765808.1
BARBAKC583_RS00375	WP_005765810.1
BARBAKC583_RS00380	WP_005765814.1
BARBAKC583_RS00385	WP_005765816.1
BARBAKC583_RS00390	WP_005765818.1
BARBAKC583_RS00395	WP_005765820.1
BARBAKC583_RS00400	WP_005765822.1
BARBAKC583_RS00405	WP_005765824.1
BARBAKC583_RS00410	WP_005765825.1
BARBAKC583_RS00415	WP_005765827.1
BARBAKC583_RS00420	WP_005765829.1
BARBAKC583_RS00425	WP_011807247.1
BARBAKC583_RS00430	WP_005765833.1
BARBAKC583_RS00435	WP_011807248.1
BARBAKC583_RS00450	WP_005765837.1
BARBAKC583_RS00455	WP_005765839.1
BARBAKC583_RS00460	WP_005765841.1
BARBAKC583_RS00465	WP_005765843.1
BARBAKC583_RS00470	WP_044051782.1
BARBAKC583_RS00475	WP_005765846.1
BARBAKC583_RS00480	WP_005765847.1
BARBAKC583_RS00485	WP_005765848.1
BARBAKC583_RS00490	WP_005765849.1
BARBAKC583_RS00495	WP_005765850.1
BARBAKC583_RS00500	WP_005765851.1
BARBAKC583_RS00505	WP_005765852.1
BARBAKC583_RS00510	WP_005765853.1
BARBAKC583_RS00515	WP_005765854.1
BARBAKC583_RS00520	WP_005765855.1
BARBAKC583_RS00525	WP_005765856.1
BARBAKC583_RS00530	WP_005765857.1
BARBAKC583_RS00535	WP_005765858.1
BARBAKC583_RS00540	WP_011807252.1
BARBAKC583_RS00545	WP_005765864.1
BARBAKC583_RS00555	WP_005765868.1
BARBAKC583_RS00560	WP_005765870.1
BARBAKC583_RS00565	WP_005765871.1
BARBAKC583_RS00570	WP_005765873.1
BARBAKC583_RS00575	WP_005765875.1
BARBAKC583_RS00580	WP_011807254.1
BARBAKC583_RS00585	WP_005765879.1
BARBAKC583_RS00590	WP_005765881.1
BARBAKC583_RS00595	WP_005765883.1
BARBAKC583_RS00600	WP_005765885.1
BARBAKC583_RS00605	WP_005765887.1
BARBAKC583_RS00610	WP_005765889.1
BARBAKC583_RS00615	WP_005765891.1
BARBAKC583_RS00620	WP_005765893.1
BARBAKC583_RS00625	WP_011807258.1
BARBAKC583_RS00630	WP_462677150.1
BARBAKC583_RS00635	WP_005765897.1
BARBAKC583_RS00640	WP_005765899.1
BARBAKC583_RS00645	WP_035453254.1
BARBAKC583_RS00655	WP_005765903.1
BARBAKC583_RS00660	WP_005765907.1
BARBAKC583_RS00665	WP_005765909.1
BARBAKC583_RS00670	WP_005765911.1
BARBAKC583_RS00675	WP_011807262.1
BARBAKC583_RS00680	WP_005765915.1
BARBAKC583_RS00690	WP_005765917.1
BARBAKC583_RS00695	WP_005765918.1
BARBAKC583_RS00705	WP_005765923.1
BARBAKC583_RS00715	WP_005765925.1
BARBAKC583_RS00720	WP_005765927.1
BARBAKC583_RS00725	WP_005765929.1
BARBAKC583_RS00735	WP_005765932.1
BARBAKC583_RS00740	WP_005765934.1
BARBAKC583_RS00745	WP_005765936.1
BARBAKC583_RS00750	WP_005765938.1
BARBAKC583_RS00755	WP_005765942.1
BARBAKC583_RS00760	WP_005765945.1
BARBAKC583_RS00765	WP_005765953.1
BARBAKC583_RS00770	WP_005765954.1
BARBAKC583_RS00775	WP_005765956.1
BARBAKC583_RS00780	WP_005765958.1
BARBAKC583_RS00785	WP_005765960.1
BARBAKC583_RS00800	WP_005765962.1
BARBAKC583_RS00805	WP_005765964.1
BARBAKC583_RS00810	WP_005765971.1
BARBAKC583_RS00815	WP_005765972.1
BARBAKC583_RS00835	WP_005765977.1
BARBAKC583_RS00845	WP_005765980.1
BARBAKC583_RS00855	WP_005765983.1
BARBAKC583_RS00860	WP_005765984.1
BARBAKC583_RS00875	WP_005765991.1
BARBAKC583_RS00885	WP_005766000.1
BARBAKC583_RS00890	WP_005766002.1
BARBAKC583_RS00895	WP_005766004.1
BARBAKC583_RS00910	WP_005766008.1
BARBAKC583_RS00915	WP_005766010.1
BARBAKC583_RS00920	WP_005766021.1
BARBAKC583_RS00925	WP_005766023.1
BARBAKC583_RS00930	WP_005766025.1
BARBAKC583_RS00935	WP_005766027.1
BARBAKC583_RS00945	WP_005766029.1
BARBAKC583_RS00950	WP_005766030.1
BARBAKC583_RS00965	WP_005766031.1
BARBAKC583_RS00975	WP_005766034.1
BARBAKC583_RS00980	WP_005766036.1
BARBAKC583_RS00985	WP_005766037.1
BARBAKC583_RS00990	WP_005766038.1
BARBAKC583_RS01015	WP_005766040.1
BARBAKC583_RS01020	WP_005766045.1
BARBAKC583_RS01045	WP_005766051.1
BARBAKC583_RS01050	WP_005766053.1
BARBAKC583_RS01055	WP_005766055.1
BARBAKC583_RS01060	WP_005766061.1
BARBAKC583_RS01065	WP_005766062.1
BARBAKC583_RS01070	WP_005766064.1
BARBAKC583_RS01085	WP_011807288.1
BARBAKC583_RS01090	WP_011807291.1
BARBAKC583_RS01095	WP_035453325.1
BARBAKC583_RS01105	WP_011807293.1
BARBAKC583_RS01110	WP_005766082.1
BARBAKC583_RS01115	WP_005766084.1
BARBAKC583_RS01140	WP_005766089.1
BARBAKC583_RS01155	WP_005766092.1
BARBAKC583_RS01160	WP_005766093.1
BARBAKC583_RS01165	WP_005766094.1
BARBAKC583_RS01175	WP_005766095.1
BARBAKC583_RS01180	WP_005766096.1
BARBAKC583_RS01185	WP_005766097.1
BARBAKC583_RS01190	WP_005766098.1
BARBAKC583_RS01195	WP_005766101.1
BARBAKC583_RS01215	WP_005766108.1
BARBAKC583_RS01220	WP_005766110.1
BARBAKC583_RS01225	WP_035453319.1
BARBAKC583_RS01230	WP_005766115.1
BARBAKC583_RS01235	WP_005766118.1
BARBAKC583_RS01245	WP_005766130.1
BARBAKC583_RS01250	WP_005766132.1
BARBAKC583_RS01295	WP_005766136.1
BARBAKC583_RS01300	WP_005766138.1
BARBAKC583_RS01305	WP_005766141.1
BARBAKC583_RS01315	WP_005766146.1
BARBAKC583_RS01325	WP_005766149.1
BARBAKC583_RS01330	WP_005766151.1
BARBAKC583_RS01335	WP_005766153.1
BARBAKC583_RS01340	WP_005766155.1
BARBAKC583_RS01345	WP_005766157.1
BARBAKC583_RS01350	WP_005766159.1
BARBAKC583_RS01355	WP_225866729.1
BARBAKC583_RS01360	WP_011807302.1
BARBAKC583_RS01365	WP_005766168.1
BARBAKC583_RS01370	WP_005766170.1
BARBAKC583_RS01375	WP_146075923.1
BARBAKC583_RS01380	WP_005766179.1
BARBAKC583_RS01385	WP_005766181.1
BARBAKC583_RS01390	WP_005766182.1
BARBAKC583_RS01395	WP_005766184.1
BARBAKC583_RS01400	WP_005766186.1
BARBAKC583_RS01405	WP_005766188.1
BARBAKC583_RS01410	WP_005766189.1
BARBAKC583_RS01415	WP_005766192.1
BARBAKC583_RS01425	WP_005766194.1
BARBAKC583_RS01430	WP_005766195.1
BARBAKC583_RS01435	WP_005766197.1
BARBAKC583_RS01440	WP_005766199.1
BARBAKC583_RS01445	WP_005766203.1
BARBAKC583_RS01450	WP_005766204.1
BARBAKC583_RS01455	WP_005766206.1
BARBAKC583_RS01465	WP_005766207.1
BARBAKC583_RS01470	WP_005766209.1
BARBAKC583_RS01475	WP_005766211.1
BARBAKC583_RS01485	WP_005766213.1
BARBAKC583_RS01490	WP_005766215.1
BARBAKC583_RS01500	WP_005766219.1
BARBAKC583_RS01505	WP_005766221.1
BARBAKC583_RS01510	WP_005766222.1
BARBAKC583_RS01520	WP_005766225.1
BARBAKC583_RS01525	WP_005766227.1
BARBAKC583_RS01530	WP_005766230.1
BARBAKC583_RS01535	WP_005766233.1
BARBAKC583_RS01540	WP_005766235.1
BARBAKC583_RS01545	WP_005766238.1
BARBAKC583_RS01550	WP_005766240.1
BARBAKC583_RS01555	WP_005766242.1
BARBAKC583_RS01560	WP_005766244.1
BARBAKC583_RS01565	WP_005766249.1
BARBAKC583_RS01570	WP_005766252.1
BARBAKC583_RS01575	WP_005766255.1
BARBAKC583_RS01580	WP_005766258.1
BARBAKC583_RS01585	WP_005766260.1
BARBAKC583_RS01590	WP_005766262.1
BARBAKC583_RS01595	WP_005766264.1
BARBAKC583_RS01600	WP_005766266.1
BARBAKC583_RS01605	WP_005766267.1
BARBAKC583_RS01610	WP_005766269.1
BARBAKC583_RS01615	WP_005766272.1
BARBAKC583_RS01620	WP_005766273.1
BARBAKC583_RS01625	WP_005766275.1
BARBAKC583_RS01635	WP_005766280.1
BARBAKC583_RS01640	WP_005766282.1
BARBAKC583_RS01645	WP_005766284.1
BARBAKC583_RS01650	WP_005766286.1
BARBAKC583_RS01655	WP_005766289.1
BARBAKC583_RS01660	WP_005766292.1
BARBAKC583_RS01665	WP_005766295.1
BARBAKC583_RS01670	WP_005766297.1
BARBAKC583_RS01675	WP_005766299.1
BARBAKC583_RS01680	WP_005766301.1
BARBAKC583_RS01685	WP_005766303.1
BARBAKC583_RS01690	WP_005766305.1
BARBAKC583_RS01695	WP_005766307.1
BARBAKC583_RS01700	WP_005766309.1
BARBAKC583_RS01705	WP_011807312.1
BARBAKC583_RS01710	WP_005766313.1
BARBAKC583_RS01715	WP_005766315.1
BARBAKC583_RS01720	WP_005766317.1
BARBAKC583_RS01725	WP_005766321.1
BARBAKC583_RS01730	WP_005766323.1
BARBAKC583_RS01735	WP_005766325.1
BARBAKC583_RS01740	WP_005766326.1
BARBAKC583_RS01745	WP_005766328.1
BARBAKC583_RS01750	WP_005766340.1
BARBAKC583_RS01755	WP_035453132.1
BARBAKC583_RS01760	WP_005766344.1
BARBAKC583_RS01765	WP_005766346.1
BARBAKC583_RS01770	WP_005766349.1
BARBAKC583_RS01775	WP_005766353.1
BARBAKC583_RS01780	WP_005766355.1
BARBAKC583_RS01785	WP_005766357.1
BARBAKC583_RS01790	WP_005766358.1
BARBAKC583_RS01795	WP_005766360.1
BARBAKC583_RS01800	WP_005766361.1
BARBAKC583_RS01805	WP_005766363.1
BARBAKC583_RS01810	WP_005766366.1
BARBAKC583_RS01815	WP_005766367.1
BARBAKC583_RS01820	WP_005766369.1
BARBAKC583_RS01825	WP_005766371.1
BARBAKC583_RS01830	WP_005766373.1
BARBAKC583_RS01835	WP_005766374.1
BARBAKC583_RS01840	WP_005766376.1
BARBAKC583_RS01845	WP_005766378.1
BARBAKC583_RS01850	WP_005766380.1
BARBAKC583_RS01855	WP_005766382.1
BARBAKC583_RS01860	WP_005766384.1
BARBAKC583_RS01865	WP_005766386.1
BARBAKC583_RS01870	WP_005766387.1
BARBAKC583_RS01875	WP_005766389.1
BARBAKC583_RS01880	WP_005766393.1
BARBAKC583_RS01885	WP_005766396.1
BARBAKC583_RS01890	WP_005766398.1
BARBAKC583_RS01895	WP_005766401.1
BARBAKC583_RS01900	WP_005766402.1
BARBAKC583_RS01905	WP_005766404.1
BARBAKC583_RS01910	WP_005766405.1
BARBAKC583_RS01915	WP_005766407.1
BARBAKC583_RS01920	WP_005766408.1
BARBAKC583_RS01925	WP_005766409.1
BARBAKC583_RS01935	WP_005766410.1
BARBAKC583_RS01940	WP_005766412.1
BARBAKC583_RS01945	WP_005766414.1
BARBAKC583_RS01950	WP_005766417.1
BARBAKC583_RS01955	WP_005766421.1
BARBAKC583_RS01960	WP_005766424.1
BARBAKC583_RS01965	WP_005766426.1
BARBAKC583_RS01970	WP_005766429.1
BARBAKC583_RS01975	WP_005766431.1
BARBAKC583_RS01980	WP_005766433.1
BARBAKC583_RS01985	WP_005766436.1
BARBAKC583_RS01990	WP_005766438.1
BARBAKC583_RS01995	WP_005766441.1
BARBAKC583_RS02000	WP_005766443.1
BARBAKC583_RS02005	WP_005766444.1
BARBAKC583_RS02010	WP_005766446.1
BARBAKC583_RS02020	WP_005766448.1
BARBAKC583_RS02025	WP_005766450.1
BARBAKC583_RS02030	WP_005766451.1
BARBAKC583_RS02035	WP_005766453.1
BARBAKC583_RS02040	WP_005766455.1
BARBAKC583_RS02050	WP_005766457.1
BARBAKC583_RS02055	WP_035453124.1
BARBAKC583_RS02060	WP_005766461.1
BARBAKC583_RS02065	WP_005766462.1
BARBAKC583_RS02070	WP_005766464.1
BARBAKC583_RS02075	WP_011807322.1
BARBAKC583_RS02080	WP_005766468.1
BARBAKC583_RS02085	WP_011807323.1
BARBAKC583_RS02095	WP_005766472.1
BARBAKC583_RS02100	WP_005766474.1
BARBAKC583_RS02105	WP_005766476.1
BARBAKC583_RS02110	WP_005766478.1
BARBAKC583_RS02115	WP_005766480.1
BARBAKC583_RS02120	WP_011807325.1
BARBAKC583_RS02125	WP_005766483.1
BARBAKC583_RS02130	WP_005766485.1
BARBAKC583_RS02135	WP_005766487.1
BARBAKC583_RS02140	WP_005766489.1
BARBAKC583_RS02145	WP_005766490.1
BARBAKC583_RS02150	WP_005766492.1
BARBAKC583_RS02155	WP_005766494.1
BARBAKC583_RS02175	WP_011807326.1
BARBAKC583_RS02185	WP_005766502.1
BARBAKC583_RS02190	WP_005766504.1
BARBAKC583_RS02200	WP_005766507.1
BARBAKC583_RS02205	WP_005766509.1
BARBAKC583_RS02210	WP_005766511.1
BARBAKC583_RS02215	WP_005766513.1
BARBAKC583_RS02220	WP_005766517.1
BARBAKC583_RS02230	WP_011807327.1
BARBAKC583_RS02235	WP_005766524.1
BARBAKC583_RS02240	WP_005766527.1
BARBAKC583_RS02245	WP_035453167.1
BARBAKC583_RS02250	WP_005766532.1
BARBAKC583_RS02255	WP_005766536.1
BARBAKC583_RS02260	WP_005766538.1
BARBAKC583_RS02265	WP_005766540.1
BARBAKC583_RS02270	WP_005766541.1
BARBAKC583_RS02275	WP_005766544.1
BARBAKC583_RS02280	WP_005766546.1
BARBAKC583_RS02285	WP_005766547.1
BARBAKC583_RS02290	WP_005766549.1
BARBAKC583_RS02295	WP_005766551.1
BARBAKC583_RS02300	WP_005766554.1
BARBAKC583_RS02310	WP_005766558.1
BARBAKC583_RS02315	WP_005766559.1
BARBAKC583_RS02320	WP_005766561.1
BARBAKC583_RS02325	WP_005766563.1
BARBAKC583_RS02330	WP_005766565.1
BARBAKC583_RS02335	WP_005766567.1
BARBAKC583_RS02340	WP_005766569.1
BARBAKC583_RS02345	WP_005766571.1
BARBAKC583_RS02350	WP_005766573.1
BARBAKC583_RS02355	WP_005766575.1
BARBAKC583_RS02360	WP_005766577.1
BARBAKC583_RS02365	WP_005766578.1
BARBAKC583_RS02370	WP_005766580.1
BARBAKC583_RS02375	WP_005766582.1
BARBAKC583_RS02380	WP_005766584.1
BARBAKC583_RS02385	WP_005766585.1
BARBAKC583_RS02390	WP_005766587.1
BARBAKC583_RS02395	WP_005766589.1
BARBAKC583_RS02400	WP_005766591.1
BARBAKC583_RS02405	WP_005766592.1
BARBAKC583_RS02410	WP_005766594.1
BARBAKC583_RS02415	WP_005766596.1
BARBAKC583_RS02420	WP_005766597.1
BARBAKC583_RS02425	WP_005766599.1
BARBAKC583_RS02430	WP_005766601.1
BARBAKC583_RS02435	WP_005766603.1
BARBAKC583_RS02440	WP_005766604.1
BARBAKC583_RS02445	WP_011807331.1
BARBAKC583_RS02450	WP_005766607.1
BARBAKC583_RS02455	WP_005766608.1
BARBAKC583_RS02460	WP_005766609.1
BARBAKC583_RS02465	WP_005766610.1
BARBAKC583_RS02470	WP_011807332.1
BARBAKC583_RS02475	WP_005766622.1
BARBAKC583_RS02485	WP_005766624.1
BARBAKC583_RS02490	WP_005766626.1
BARBAKC583_RS02495	WP_005766628.1
BARBAKC583_RS02500	WP_005766630.1
BARBAKC583_RS02505	WP_005766632.1
BARBAKC583_RS02510	WP_005766634.1
BARBAKC583_RS02515	WP_005766636.1
BARBAKC583_RS02520	WP_005766639.1
BARBAKC583_RS02525	WP_005766641.1
BARBAKC583_RS02530	WP_005766643.1
BARBAKC583_RS02535	WP_005766646.1
BARBAKC583_RS02540	WP_005766648.1
BARBAKC583_RS02545	WP_005766651.1
BARBAKC583_RS02550	WP_005766653.1
BARBAKC583_RS02555	WP_005766656.1
BARBAKC583_RS02560	WP_005766659.1
BARBAKC583_RS02565	WP_005766662.1
BARBAKC583_RS02570	WP_005766664.1
BARBAKC583_RS02575	WP_005766667.1
BARBAKC583_RS02580	WP_005766668.1
BARBAKC583_RS02585	WP_005766670.1
BARBAKC583_RS02590	WP_005766672.1
BARBAKC583_RS02595	WP_005766674.1
BARBAKC583_RS02600	WP_011807336.1
BARBAKC583_RS02605	WP_005766680.1
BARBAKC583_RS02610	WP_005766681.1
BARBAKC583_RS02620	WP_005766683.1
BARBAKC583_RS02630	WP_005766685.1
BARBAKC583_RS02635	WP_005766687.1
BARBAKC583_RS02640	WP_005766689.1
BARBAKC583_RS02645	WP_172952859.1
BARBAKC583_RS02650	WP_005766693.1
BARBAKC583_RS02660	WP_005766695.1
BARBAKC583_RS02665	WP_005766696.1
BARBAKC583_RS02670	WP_005766698.1
BARBAKC583_RS02680	WP_011807338.1
BARBAKC583_RS02685	WP_225866732.1
BARBAKC583_RS02690	WP_005766704.1
BARBAKC583_RS02695	WP_005766706.1
BARBAKC583_RS02710	WP_005766708.1
BARBAKC583_RS02720	WP_005766710.1
BARBAKC583_RS02725	WP_005766712.1
BARBAKC583_RS02730	WP_005766713.1
BARBAKC583_RS02735	WP_005766715.1
BARBAKC583_RS02740	WP_005766717.1
BARBAKC583_RS02745	WP_005766718.1
BARBAKC583_RS02750	WP_005766719.1
BARBAKC583_RS02755	WP_005766721.1
BARBAKC583_RS02760	WP_005766723.1
BARBAKC583_RS02770	WP_005766734.1
BARBAKC583_RS02780	WP_005766739.1
BARBAKC583_RS02785	WP_005766741.1
BARBAKC583_RS02790	WP_005766743.1
BARBAKC583_RS02795	WP_005766745.1
BARBAKC583_RS02800	WP_005766748.1
BARBAKC583_RS02805	WP_005766749.1
BARBAKC583_RS02810	WP_005766751.1
BARBAKC583_RS02815	WP_005766753.1
BARBAKC583_RS02820	WP_005766755.1
BARBAKC583_RS02830	WP_005766757.1
BARBAKC583_RS02835	WP_005766759.1
BARBAKC583_RS02840	WP_005766761.1
BARBAKC583_RS02845	WP_005766762.1
BARBAKC583_RS02850	WP_005766764.1
BARBAKC583_RS02855	WP_005766766.1
BARBAKC583_RS02865	WP_005766768.1
BARBAKC583_RS02870	WP_005766770.1
BARBAKC583_RS02875	WP_005766771.1
BARBAKC583_RS02880	WP_005766773.1
BARBAKC583_RS02885	WP_005766775.1
BARBAKC583_RS02890	WP_005766777.1
BARBAKC583_RS02895	WP_005766778.1
BARBAKC583_RS02900	WP_005766779.1
BARBAKC583_RS02910	WP_005766781.1
BARBAKC583_RS02915	WP_035453077.1
BARBAKC583_RS02920	WP_005766785.1
BARBAKC583_RS02925	WP_005766787.1
BARBAKC583_RS02930	WP_005766789.1
BARBAKC583_RS02935	WP_005766791.1
BARBAKC583_RS02940	WP_005766794.1
BARBAKC583_RS02955	WP_005766798.1
BARBAKC583_RS02960	WP_005766800.1
BARBAKC583_RS02970	WP_005766814.1
BARBAKC583_RS02975	WP_280641459.1
BARBAKC583_RS02980	WP_005766818.1
BARBAKC583_RS02985	WP_035453156.1
BARBAKC583_RS02990	WP_005766821.1
BARBAKC583_RS02995	WP_005766822.1
BARBAKC583_RS03000	WP_005766823.1
BARBAKC583_RS03005	WP_005766824.1
BARBAKC583_RS03010	WP_005766825.1
BARBAKC583_RS03015	WP_005766826.1
BARBAKC583_RS03030	WP_005766830.1
BARBAKC583_RS03035	WP_005766832.1
BARBAKC583_RS03040	WP_005766834.1
BARBAKC583_RS03045	WP_005766835.1
BARBAKC583_RS03050	WP_005766837.1
BARBAKC583_RS03055	WP_005766840.1
BARBAKC583_RS03060	WP_005766842.1
BARBAKC583_RS03065	WP_005766844.1
BARBAKC583_RS03070	WP_005766845.1
BARBAKC583_RS03075	WP_005766847.1
BARBAKC583_RS03080	WP_005766849.1
BARBAKC583_RS03085	WP_005766851.1
BARBAKC583_RS03090	WP_005766852.1
BARBAKC583_RS03095	WP_005766853.1
BARBAKC583_RS03100	WP_005766855.1
BARBAKC583_RS03105	WP_005766857.1
BARBAKC583_RS03110	WP_005766859.1
BARBAKC583_RS03115	WP_005766860.1
BARBAKC583_RS03125	WP_005766862.1
BARBAKC583_RS03130	WP_011807347.1
BARBAKC583_RS03135	WP_005766865.1
BARBAKC583_RS03150	WP_005766867.1
BARBAKC583_RS03155	WP_011807348.1
BARBAKC583_RS03160	WP_005766870.1
BARBAKC583_RS03165	WP_005766872.1
BARBAKC583_RS03170	WP_035453066.1
BARBAKC583_RS03175	WP_005766875.1
BARBAKC583_RS03180	WP_005766877.1
BARBAKC583_RS03190	WP_011807349.1
BARBAKC583_RS03195	WP_005766882.1
BARBAKC583_RS03200	WP_005766884.1
BARBAKC583_RS03205	WP_005766885.1
BARBAKC583_RS03210	WP_005766888.1
BARBAKC583_RS03215	WP_005766892.1
BARBAKC583_RS03220	WP_005766894.1
BARBAKC583_RS03225	WP_005766896.1
BARBAKC583_RS03230	WP_005766898.1
BARBAKC583_RS03235	WP_005766900.1
BARBAKC583_RS03240	WP_005766902.1
BARBAKC583_RS03245	WP_005766905.1
BARBAKC583_RS03250	WP_005766907.1
BARBAKC583_RS03255	WP_005766909.1
BARBAKC583_RS03260	WP_005766912.1
BARBAKC583_RS03265	WP_005766913.1
BARBAKC583_RS03270	WP_005766915.1
BARBAKC583_RS03275	WP_005766917.1
BARBAKC583_RS03280	WP_005766919.1
BARBAKC583_RS03295	WP_011807347.1
BARBAKC583_RS03300	WP_005766926.1
BARBAKC583_RS03315	WP_005766867.1
BARBAKC583_RS03320	WP_011807351.1
BARBAKC583_RS03325	WP_005766870.1
BARBAKC583_RS03330	WP_005766872.1
BARBAKC583_RS03335	WP_035453066.1
BARBAKC583_RS03340	WP_005766875.1
BARBAKC583_RS03345	WP_005766877.1
BARBAKC583_RS03350	WP_011807349.1
BARBAKC583_RS03355	WP_005766882.1
BARBAKC583_RS03360	WP_005766884.1
BARBAKC583_RS03365	WP_005766885.1
BARBAKC583_RS03370	WP_005766888.1
BARBAKC583_RS03375	WP_005766892.1
BARBAKC583_RS03380	WP_005766894.1
BARBAKC583_RS03385	WP_005766896.1
BARBAKC583_RS03390	WP_005766898.1
BARBAKC583_RS03400	WP_005766900.1
BARBAKC583_RS03405	WP_005766902.1
BARBAKC583_RS03410	WP_005766905.1
BARBAKC583_RS03415	WP_005766907.1
BARBAKC583_RS03420	WP_005766909.1
BARBAKC583_RS03425	WP_005766912.1
BARBAKC583_RS03430	WP_005766913.1
BARBAKC583_RS03435	WP_005766915.1
BARBAKC583_RS03440	WP_005766917.1
BARBAKC583_RS03445	WP_005766919.1
BARBAKC583_RS03450	WP_005766936.1
BARBAKC583_RS03455	WP_005766938.1
BARBAKC583_RS03460	WP_005766940.1
BARBAKC583_RS03465	WP_005766942.1
BARBAKC583_RS03470	WP_005766945.1
BARBAKC583_RS03475	WP_005766947.1
BARBAKC583_RS03480	WP_005766949.1
BARBAKC583_RS03485	WP_005766951.1
BARBAKC583_RS03490	WP_005766957.1
BARBAKC583_RS03495	WP_005766958.1
BARBAKC583_RS03500	WP_005766959.1
BARBAKC583_RS03505	WP_005766960.1
BARBAKC583_RS03510	WP_005766961.1
BARBAKC583_RS03515	WP_005766962.1
BARBAKC583_RS03520	WP_005766965.1
BARBAKC583_RS03525	WP_005766967.1
BARBAKC583_RS03530	WP_005766971.1
BARBAKC583_RS03535	WP_005766976.1
BARBAKC583_RS03540	WP_005766978.1
BARBAKC583_RS03545	WP_005766983.1
BARBAKC583_RS03550	WP_005766984.1
BARBAKC583_RS03555	WP_005766985.1
BARBAKC583_RS03560	WP_005766991.1
BARBAKC583_RS03570	WP_005766993.1
BARBAKC583_RS03575	WP_005766996.1
BARBAKC583_RS03585	WP_005766997.1
BARBAKC583_RS03590	WP_005766998.1
BARBAKC583_RS03595	WP_005767001.1
BARBAKC583_RS03600	WP_005767002.1
BARBAKC583_RS03605	WP_005767004.1
BARBAKC583_RS03610	WP_005767012.1
BARBAKC583_RS03615	WP_005767014.1
BARBAKC583_RS03620	WP_005767018.1
BARBAKC583_RS03630	WP_005767019.1
BARBAKC583_RS03635	WP_005767020.1
BARBAKC583_RS03640	WP_005767022.1
BARBAKC583_RS03645	WP_005767024.1
BARBAKC583_RS03650	WP_005767026.1
BARBAKC583_RS03655	WP_005767028.1
BARBAKC583_RS03660	WP_005767030.1
BARBAKC583_RS03665	WP_005767032.1
BARBAKC583_RS03670	WP_005767034.1
BARBAKC583_RS03675	WP_005767036.1
BARBAKC583_RS03680	WP_005767038.1
BARBAKC583_RS03685	WP_005767039.1
BARBAKC583_RS03690	WP_005767040.1
BARBAKC583_RS03700	WP_005767041.1
BARBAKC583_RS03705	WP_005767042.1
BARBAKC583_RS03715	WP_005767043.1
BARBAKC583_RS03725	WP_005767044.1
